pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-30,92.4,1.99,6.16,"Crochet, Garrett",683011,676979,,swinging_strike,,,,,13,Swinging Strike,F,R,L,NYY,BOS,S,,,0,1,2025,-0.14,0.4,-0.23,1.24,,,,1,8,Bot,,,,,,,-5.400264224913613,-134.4409276013239,-7.696774819791048,-0.6272217550926745,28.1160135810646,-25.873648162366937,3.39,1.61,,,,93.6,2520,6.9,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.57,,,,,,,,60,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,168,-0.01,-0.052,43.9,6.7,,0.052,,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,2.26,-0.14,0.14,38.6,-0.8036482525395386,28.518233262851343,38.67274496456447,35.16718237747448,14.71140372850968
FC,2025-09-30,91.4,2.07,6.13,"Crochet, Garrett",683011,676979,,called_strike,,,,,1,Called Strike,F,R,L,NYY,BOS,S,,,0,0,2025,-0.46,0.17,-0.61,3.26,,,,1,8,Bot,,,,,,,-5.859571379566075,-133.13464917247646,-1.764897191425506,-4.249061202664408,27.56556186358058,-30.02157637347385,3.41,1.61,,,,93.0,2525,7.1,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.39,,,,,,,,60,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,202,-0.01,-0.039,,,,0.039,,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,2.55,-0.46,0.46,37.7,,,,,
SI,2025-09-30,98.6,2.26,5.92,"Crochet, Garrett",663757,676979,strikeout,swinging_strike,,,,,6,Trent Grisham strikes out swinging.,F,L,L,NYY,BOS,S,2.0,,2,2,2025,1.18,0.88,0.36,2.7,,,,0,8,Bot,,,,,,,-8.08799983931671,-143.31422161237603,-5.393798733811362,18.2401716628472,35.693044787617424,-18.99796066041798,3.57,1.67,,,,100.1,2345,7.3,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.16,,0.0,0.0,1.0,0.0,0.0,,59,5,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,124,-0.073,-0.232,68.1,6.6,,0.232,,-1,-1,0.3079078962416406,0.3079078962416406,26,28,26,29,3,2,6,2,,1,1.49,1.18,1.18,32.8,2.008135376792041,27.3571474347088,29.737886396522647,34.898066346215515,10.880858914543673
SI,2025-09-30,97.3,2.08,5.97,"Crochet, Garrett",663757,676979,,called_strike,,,,,8,Called Strike,F,L,L,NYY,BOS,S,,,2,1,2025,1.38,0.68,-0.16,2.16,,,,0,8,Bot,,,,,,,-9.345965529015244,-141.2730651325391,-6.331544809747336,20.685017645307315,32.64559549264083,-21.817946337449907,3.67,1.89,,,,98.8,2280,7.3,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.19,,,,,,,,59,4,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,135,-0.011,-0.073,,,,0.073,,-1,-1,0.3079078962416406,0.3079078962416406,26,28,26,29,3,2,6,2,,1,1.75,1.38,1.38,32.2,,,,,
ST,2025-09-30,83.7,2.09,6.19,"Crochet, Garrett",663757,676979,,ball,,,,,13,Ball,F,L,L,NYY,BOS,B,,,1,1,2025,-1.53,-0.45,-0.43,1.38,,,,0,8,Bot,,,,,,,-2.8056752849813504,-121.7928398280795,-3.777312049622141,-14.592490221644598,25.70074877162032,-36.06249444548933,3.59,1.67,,,,84.5,2256,7.0,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.5,,,,,,,,59,3,Sweeper,1,2,1,2,2,1,1,2,Infield shade,Standard,302,-0.011,0.055,,,,-0.055,,-1,-1,0.3079078962416406,0.3079078962416406,26,28,26,29,3,2,6,2,,1,3.72,-1.53,-1.53,41.0,,,,,
FC,2025-09-30,92.2,2.29,6.14,"Crochet, Garrett",663757,676979,,ball,,,,,13,Ball,F,L,L,NYY,BOS,B,,,0,1,2025,-0.28,0.41,-0.63,1.12,,,,0,8,Bot,,,,,,,-6.885570026437576,-133.9742322684451,-7.902151953834825,-1.9003329657560024,29.44853802453315,-25.69419784635957,3.7,1.67,,,,93.5,2471,7.2,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.34,,,,,,,,59,2,Cutter,1,2,1,2,2,1,1,2,Infield shade,Standard,174,-0.011,0.031,,,,-0.031,,-1,-1,0.3079078962416406,0.3079078962416406,26,28,26,29,3,2,6,2,,1,2.28,-0.28,-0.28,36.7,,,,,
SI,2025-09-30,96.8,2.32,6.06,"Crochet, Garrett",663757,676979,,swinging_strike,,,,,14,Swinging Strike,F,L,L,NYY,BOS,S,,,0,0,2025,1.2,0.66,1.09,2.49,,,,0,8,Bot,,,,,,,-6.104636798574403,-140.73139417423022,-5.522734650118498,17.30551780726822,35.01975132718348,-22.283881064016345,3.57,1.67,,,,97.9,2366,7.2,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.31,,,,,,,,59,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,142,-0.011,-0.039,73.5,7.4,,0.039,,-1,-1,0.3079078962416406,0.3079078962416406,26,28,26,29,3,2,6,2,,1,1.79,1.2,1.2,32.3,18.62352610797577,-7.833192813326119,24.055995929293427,26.64695598427014,26.16639460624619
ST,2025-09-30,84.4,1.75,6.28,"Crochet, Garrett",642708,676979,field_out,hit_into_play,,,,,13,"Amed Rosario grounds out, third baseman Alex Bregman to first baseman Nathaniel Lowe.",F,R,L,NYY,BOS,X,5.0,ground_ball,0,1,2025,-1.2,-0.34,-0.03,1.41,,,,2,7,Bot,89.88,159.99,,,,,-1.7814239797362077,-122.9716283180684,-4.362799545100034,-11.801376250939734,24.407616438964613,-34.93020555437649,3.49,1.62,21.0,96.9,-3.0,85.5,2276,6.9,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.56,0.317,0.319,0.0,1.0,0.0,0.0,2.0,54,2,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,294,-0.032,-0.217,71.8,7.8,0.35,0.217,96.9,-1,-1,0.2793239742080699,0.2793239742080699,26,29,26,30,3,2,6,4,,2,3.53,-1.2,1.2,42.5,10.181292891956543,-5.075206778622258,39.72262601178018,30.01379300761045,30.93556239667606
SI,2025-09-30,96.6,2.09,6.04,"Crochet, Garrett",642708,676979,,called_strike,,,,,6,Called Strike,F,R,L,NYY,BOS,S,,,0,0,2025,1.16,0.68,0.31,2.68,,,,2,7,Bot,,,,,,,-7.441432247645115,-140.38031306560163,-4.936066861966154,17.012976078008354,34.27707303816761,-22.1833151637304,3.54,1.62,,,,97.1,2443,6.8,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.7,,,,,,,,54,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,139,-0.009,-0.043,,,,0.043,,-1,-1,0.2793239742080699,0.2793239742080699,26,29,26,30,3,2,6,4,,2,1.78,1.16,-1.16,29.6,,,,,
FC,2025-09-30,91.9,2.05,6.13,"Crochet, Garrett",519317,676979,field_out,hit_into_play,,,,,4,"Giancarlo Stanton grounds out, third baseman Alex Bregman to first baseman Nathaniel Lowe.",F,R,L,NYY,BOS,X,5.0,ground_ball,0,0,2025,-0.22,0.31,-0.43,2.6,,,,1,7,Bot,98.09,165.05,,,,,-5.905681743819872,-133.79496082725043,-3.8364554563562767,-1.3550364967416235,27.970914439680957,-27.837088698120404,3.79,1.84,6.0,107.1,-21.0,93.6,2499,7.2,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.3,0.132,0.106,0.0,1.0,0.0,0.0,2.0,53,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,173,-0.046,-0.254,84.5,8.7,0.143,0.254,107.1,-1,-1,0.3156725683183349,0.3156725683183349,26,35,26,36,3,2,6,2,,1,2.38,-0.22,0.22,33.2,10.546005663138692,-5.818829322540203,29.62444466929457,37.50854540319902,26.223539289657023
